Країна,Показник(англ),Показник,Категорія розрізу(англ),Категорія розрізу, Види діяльності,Види продукції,Види продуктів,Групи продуктів,Розріз(англ),Продукти,Рік,Значення в нац. валюті(млн),Курс НБ,Значення в $(млн)
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2014,34231,"15,77","2170,640457"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2015,40755,24,"1698,125"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2016,46235,"27,19","1700,441339"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2017,60620,"28,07","2159,600998"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2018,64091,"27,69","2314,590105"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2019,65846,"23,69","2779,485015"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2020,66721,"28,27","2360,134418"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2021,75252,"27,28","2758,504399"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,MILK,Молоко,2022,71038,"36,57","1942,521192"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2014,36577,"15,77","2319,403932"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2015,81542,24,"3397,583333"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2016,111304,"27,19","4093,56381"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2017,103437,"28,07","3684,966156"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2018,125139,"27,69","4519,28494"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2019,119261,"23,69","5034,233854"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2020,142477,"28,27","5039,865582"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2021,273273,"27,28","10017,33871"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SUNFLOWER_SEEDS,Насіння соняшнику,2022,168461,"36,57","4606,535412"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2014,3121,"15,77","197,9074192"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2015,5544,24,231
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2016,12630,"27,19","464,5090107"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2017,17379,"28,07","619,1307446"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2018,12978,"27,69","468,6890574"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2019,10495,"23,69","443,0139299"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2020,11143,"28,27","394,1634241"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2021,16207,"27,28","594,0982405"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Зернові культури,OTH_GRAIN_CROPS,"Просо, гречка та інші зернові",2022,9860,"36,57","269,619907"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2014,1930,"15,77","122,3842739"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2015,3135,24,"130,625"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2016,3361,"27,19","123,6116219"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2017,4215,"28,07","150,1603135"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2018,5271,"27,69","190,3575298"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2019,4655,"23,69","196,496412"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2020,4573,"28,27","161,7615847"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2021,5607,"27,28","205,5351906"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,HONEY,Мед,2022,5902,"36,57","161,3891168"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2014,13968,"15,77","885,7324033"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2015,21180,24,"882,5"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2016,17532,"27,19","644,7958808"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2017,18615,"28,07","663,1635198"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2018,24705,"27,69","892,1993499"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2019,21199,"23,69","894,8501477"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2020,21454,"28,27","758,8963566"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2021,27860,"27,28","1021,260997"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Продукти тваринництва,EGGS,Яйця,2022,28915,"36,57","790,675417"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2014,18468,"15,77","1171,084337"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2015,24898,24,"1037,416667"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2016,24065,"27,19","885,0680397"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2017,30589,"28,07","1089,739936"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2018,36966,"27,69","1334,994583"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2019,36276,"23,69","1531,279021"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2020,37646,"28,27","1331,659002"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2021,38464,"27,28","1409,970674"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,PIGS,Свині,2022,43848,"36,57","1199,015587"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2014,16759,"15,77","1062,714014"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2015,27555,24,"1148,125"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2016,35680,"27,19","1312,24715"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2017,34620,"28,07","1233,345208"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2018,42247,"27,69","1525,713254"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2019,30125,"23,69","1271,633601"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2020,30078,"28,27","1063,954722"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2021,54231,"27,28","1987,939883"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,SOYA,Соя,2022,51699,"36,57","1413,699754"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2014,9151,"15,77","580,2790108"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2015,13017,24,"542,375"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2016,10460,"27,19","384,7002574"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2017,22044,"28,07","785,3224083"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2018,28511,"27,69","1029,649693"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2019,31418,"23,69","1326,213592"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2020,27921,"28,27","987,6547577"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2021,47427,"27,28","1738,526393"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск рослинництва,Технічні культури,RAPE,Ріпак,2022,49475,"36,57","1352,884878"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,OTH_ANIMALS,Інше тваринництво,2014,414,"15,77","26,25237793"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,OTH_ANIMALS,Інше тваринництво,2015,898,24,"37,41666667"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,OTH_ANIMALS,Інше тваринництво,2016,888,"27,19","32,65906583"
Україна,AGRICULTURE_OUTPUT_CURR,Випуск с/г,TYPES_GROUPS_PROD_ACT,Види (групи) продукції (діяльності),Випуск продукції с/г,Випуск с/г продуктів,Випуск тваринництва,Вирощування с/г тварин,OTH_ANIMALS,Інше тваринництво,2017,1074,"28,07","38,26148913"
